id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,amax,gs,wue,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass,rgr,agr
31,hc,ambientrain_water_nutrients,Legume,nonfixer,38,35.43307087,35.30742168,29.25950746,3.493,4.23,4.215,11.938,4.507595075,0.354330709,0.0036494,0.549100968,-27.05490679,6.713,0.233,1.635,91.92443,33.99517322,1.648192701,15.15091799,52.92215654,0.003690089,0.164705882
32,hc,ambientrain_water_nutrients,Legume,nonfixer,32,48.46019314,26.64436165,24.89544521,3.274,6.373,3.504,13.151,3.752954452,0.484601931,0.00445663,0.528994083,-29.95303635,4.017,0.08,2.883,99.70089,31.22726167,1.670033463,16.65038307,54.51335417,0.00291572,0.105882353
33,hc,ambientrain_water,Legume,nonfixer,32,47.80914571,27.29745626,24.89339803,3.386,6.503,3.713,13.602,3.96193398,0.478091457,0.005127,0.47542735,-30.40483597,6.547,0.337,1.352,115.21348,41.07310704,1.090253986,12.56119592,42.53220939,0.004522491,0.176470588
34,hc,ambientrain_water,Legume,nonfixer,28,41.45136778,32.94072948,25.60790274,2.696,4.364,3.468,10.528,3.724079027,0.414513678,0.00271665,0.469945355,-28.67301783,7.363,0.31,1.6,105.29651,40.42054263,1.196078854,12.5942931,33.9542142,0.003898319,0.129411765
35,hc,ambientrain_water,Legume,nonfixer,26,53.05317324,25.37735849,21.56946827,2.515,6.186,2.959,11.66,3.174694683,0.530531732,0.00334359,0.478510029,-29.2921831,7.927,0.34,1.637,100.10749,31.59838893,1.643978866,16.45745897,41.39050931,0.00550114,0.182352941
36,hc,ambientrain_water,Legume,nonfixer,27,40.54054054,32.66542404,26.79403541,2.3,3.48,2.804,8.584,3.071940354,0.405405405,0.00266437,0.513238289,-28.97555843,9.083,0.353,1.875,105.72897,39.74155085,1.230924621,13.01443902,29.93320975,0.004326174,0.141176471
37,hc,ambientrain_nutrients,Legume,nonfixer,28,33.91129983,35.16159472,30.92710545,2.622,2.875,2.981,8.478,3.290271054,0.339112998,0.0025982,0.489361702,-30.06244178,7.027,0.207,1.909,102.69565,27.1428732,1.839819422,18.89414554,49.54044961,0.005840434,0.211764706
38,hc,ambientrain_nutrients,Legume,nonfixer,31,54.58319818,24.04800519,21.36879663,3.294,8.414,3.707,15.415,3.920687966,0.545831982,0.00475141,0.524891775,-28.69758736,7.707,0.243,1.908,97.96722,29.20260054,1.802935932,17.66286148,58.18146572,0.004384415,0.164705882
39,hc,ambientrain_nutrients,Legume,nonfixer,29,38.41836098,33.84058875,27.74105027,2.224,3.08,2.713,8.017,2.990410503,0.38418361,0.00282922,0.49471831,-28.71261277,9.503,0.243,2.364,100.68399,31.19664052,1.579225134,15.90026809,35.36219623,0.00516902,0.188235294
40,hc,ambientrain_nutrients,Legume,nonfixer,27,42.55763012,29.23750913,28.20486075,2.704,4.08,2.803,9.587,3.085048607,0.425576301,0.00274951,0.547058824,-28.3375106,5.82,0.105,3.404,98.54875,32.14423165,1.617862794,15.94383488,43.11212952,0.002181214,0.064705882
45,sg,ambientrain,nonlegume,nonfixer,9.5,43.63981043,13.44075829,42.91943128,2.264,2.302,0.709,5.275,1.138194313,0.436398104,0.00461617,0.394543547,-29.20989432,3.287,0.05,3.062,122.77048,49.69928818,0.75409826,9.25810044,20.9603394,0.002247709,0.023529412
46,sg,ambientrain,nonlegume,nonfixer,7,37.13228132,9.097993376,53.76972531,2.76,1.906,0.467,5.133,1.004697253,0.371322813,0.0039184,0.45035461,-29.42192067,3.267,0.07,2.67,102.84514,52.24429854,0.842768715,8.66746702,23.92220898,0.002284188,0.017647059
47,sg,ambientrain,nonlegume,nonfixer,8.5,38.89855072,17.56521739,43.53623188,0.751,0.671,0.303,1.725,0.738362319,0.388985507,0.00198826,0.295652174,-30.00182904,2.56,0.067,2.286,194.92745,30.84191907,0.764336113,14.89900902,11.18915577,0.002485989,0.023529412
48,sg,ambientrain,nonlegume,nonfixer,13,40.74006228,13.88532698,45.37461073,2.477,2.224,0.758,5.459,1.211746107,0.407400623,0.00452874,0.413114754,-29.05556161,5.027,0.07,3.968,119.80794,51.09480746,0.742546693,8.8962987,22.03613188,0,0
49,sg,ambientrain_water_nutrients,nonlegume,nonfixer,9,41.1179655,12.89185446,45.99018003,3.653,3.266,1.024,7.943,1.4839018,0.411179655,0.00455177,0.424669604,-29.71993304,3.127,0.09,1.975,94.43506,39.61280701,1.207577974,11.40377011,41.65797221,0.002883794,0.029411765
50,sg,ambientrain_water_nutrients,nonlegume,nonfixer,8,35.67806314,13.10322264,51.21871422,3.131,2.181,0.801,6.113,1.313187142,0.356780631,0.00522997,0.402998236,-29.09833919,3.42,0.157,1.283,114.44136,37.061077,1.078165628,12.33867372,38.63238742,0.005711857,0.058823529
51,sg,ambientrain_water_nutrients,nonlegume,nonfixer,10,37.1657754,15.25549614,47.57872846,3.203,2.502,1.027,6.732,1.502787285,0.371657754,0.00343193,0.399224806,-29.63963116,3.55,0.16,1.282,111.0657,39.63861221,1.030002581,11.43979533,36.64166444,0.003086638,0.035294118
52,sg,ambientrain_water_nutrients,nonlegume,nonfixer,11.5,31.26838235,15.82720588,52.90441176,2.878,1.701,0.861,5.44,1.390044118,0.312683824,0.00387228,0.421497585,-29.67303685,3.47,0.19,1.087,110.95358,39.03584412,1.036659045,11.5021034,33.10305359,0.002314239,0.029411765
53,sg,ambientrain_water,nonlegume,nonfixer,10,38.5460053,14.93752367,46.51647103,2.457,2.036,0.789,5.282,1.25416471,0.385460053,0.00522984,0.394538606,-29.39757834,3.33,0.31,0.736,124.81718,52.94669287,0.698458073,8.71795696,21.42002025,0.002625218,0.029411765
54,sg,ambientrain_water,nonlegume,nonfixer,7.5,36.48733515,13.18819343,50.32447143,2.404,1.743,0.63,4.777,1.133244714,0.364873351,0.00354047,0.436931079,-30.05049368,5.327,0.327,1.133,105.37113,53.71186571,0.797805374,8.40656545,20.20938334,0.003958497,0.035294118
55,sg,ambientrain_water,nonlegume,nonfixer,11,32.44535519,17.37249545,50.18214936,2.204,1.425,0.763,4.392,1.264821494,0.324453552,0.00338721,0.46641791,-29.11799004,5.283,0.293,1.18,90.3256,48.01285634,1.045243259,9.44122245,20.80845428,5.23E-04,0.005882353
57,sg,ambientrain_nutrients,nonlegume,nonfixer,11,37.57477769,13.5974131,48.82780922,3.02,2.324,0.841,6.185,1.329278092,0.375747777,0.0037682,0.417783191,-29.81996337,5.317,0.11,2.76,109.86006,40.0843077,1.045333839,11.48404365,34.68181182,0.001965342,0.023529412
58,sg,ambientrain_nutrients,nonlegume,nonfixer,6.5,35.66909206,9.807023094,54.52388485,3.447,2.255,0.62,6.322,1.165238848,0.356690921,0.00483673,0.427374302,-29.66386174,4.25,0.093,2.56,105.37538,43.64827461,1.002421101,10.56305057,36.41083531,0.005642036,0.047058824
