id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,amax,gs,wue,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass,rgr,agr
129,dr,ambientrain_water_nutrients,Legume,fixer,11,45.4723475,21.22003323,33.30761927,5.613,7.663,3.576,16.852,3.909076193,0.454723475,0.01060058,0.309853249,-29.57941331,10.16,0.147,3.777,143.44493,18.79724004,1.719278262,24.66217424,138.428784,0.014890193,0.329411765
130,dr,ambientrain_water_nutrients,Legume,fixer,8.5,40.50802994,24.92801843,34.56395163,5.402,6.331,3.896,15.629,4.241639516,0.405080299,0.01093136,0.335788562,-29.81789205,9.923,0.137,4.084,141.04981,24.34536337,1.372532603,19.3595458,104.5802664,0.015778517,0.282352941
131,dr,ambientrain_water_nutrients,Legume,fixer,10,40.86987779,25.31991373,33.81020848,4.703,5.685,3.522,13.91,3.860102085,0.408698778,0.01147232,0.350555081,-29.73739501,14.297,0.317,3.412,139.73593,25.01818913,1.329586291,18.57909793,87.37749756,0.01616136,0.347058824
132,dr,ambientrain_water_nutrients,Legume,fixer,12.5,35.19505601,23.9165701,40.88837389,5.293,4.556,3.096,12.945,3.504883739,0.35195056,0.01128904,0.385648148,-28.43628865,9.863,0.17,3.433,135.52269,20.41826506,1.687847283,22.87416025,121.0729302,0.014397358,0.352941176
133,dr,ambientrain_water,Legume,fixer,10,48.21582115,17.53009458,34.25408426,3.187,4.486,1.631,9.304,1.973540843,0.482158212,0.00803905,0.32860262,-30.04217286,12.307,0.17,3.729,133.53904,21.88373778,1.615731522,21.57632307,68.76374162,0.011241311,0.188235294
134,dr,ambientrain_water,Legume,fixer,7,50.92830034,12.20638014,36.86531952,3.594,4.965,1.19,9.749,1.558653195,0.509283003,0.00799511,0.355417957,-28.83273523,12.977,0.187,3.676,139.28763,23.16916245,1.469859752,20.47332823,73.58114166,0.014495808,0.2
135,dr,ambientrain_water,Legume,fixer,9,48.31967213,20.83606557,30.8442623,3.763,5.895,2.542,12.2,2.850442623,0.483196721,0.0100127,0.356023287,-29.51119234,12.193,0.2,3.284,125.94591,23.0485905,1.60293524,20.18831406,75.96862581,0.012704943,0.205882353
136,dr,ambientrain_water,Legume,fixer,9.5,46.41965029,19.49417152,34.08617818,3.275,4.46,1.873,9.608,2.213861782,0.464196503,0.00898884,0.337562052,-30.3013138,17.217,0.363,3.136,146.87647,24.61427464,1.290591348,18.95575021,62.08008194,0.012288765,0.205882353
137,dr,ambientrain_nutrients,Legume,fixer,10.5,51.08929648,20.4167743,28.49392922,3.309,5.933,2.371,11.613,2.655939292,0.510892965,0.00686285,0.401049475,-29.85227553,8.257,0.11,4.22,128.27757,19.08474404,1.90510171,24.43818182,80.86594364,0.013292527,0.258823529
138,dr,ambientrain_nutrients,Legume,fixer,8.5,54.59451243,19.35091586,26.05457171,3.428,7.183,2.546,13.157,2.806545717,0.545945124,0.00821543,0.325301205,-28.6618947,8.08,0.08,5.572,152.13759,17.62660841,1.78466858,27.15151814,93.07540418,0.014233387,0.235294118
140,dr,ambientrain_nutrients,Legume,fixer,9.5,47.94667047,21.64551547,30.40781406,4.265,6.725,3.036,14.026,3.340078141,0.479466705,0.00917681,0.326848249,-28.99916768,7.795,0.105,4.06,136.55967,20.29706605,1.700305779,23.21932006,99.03040006,0.016614939,0.347058824
145,to,ambientrain,nonlegume,nonfixer,5,73.55205892,4.21827921,22.22966187,0.664,2.197,0.126,2.987,0.348296619,0.735520589,0.00236324,0.372013652,-30.30895539,5.447,0.197,1.46,216.81101,27.11692944,0.771298782,16.72260672,11.10381086,0.005529454,0.035294118
146,to,ambientrain,nonlegume,nonfixer,6,76.35861222,3.530856617,20.11053116,0.655,2.487,0.115,3.257,0.316105312,0.763586122,0.0020843,0.383763838,-29.24035615,5.42,0.19,1.51,200.41346,26.96681749,0.848359293,17.00226226,11.13648178,0.001813537,0.011764706
147,to,ambientrain,nonlegume,nonfixer,5,67.53367394,5.712958662,26.75336739,0.576,1.454,0.123,2.153,0.390533674,0.675336739,0.00158521,0.40625,-29.87585956,6.71,0.207,1.757,174.1989,29.00827648,0.891375463,15.52766262,8.943933669,0.003958497,0.023529412
148,to,ambientrain,nonlegume,nonfixer,3,73.98601399,4.125874126,21.88811189,0.626,2.116,0.118,2.86,0.336881119,0.73986014,0.00237209,0.398026316,-31.08703623,7.31,0.273,1.678,196.0405,24.06148896,0.982125294,19.25363297,12.05277424,0.008154673,0.035294118
149,to,ambientrain_water_nutrients,nonlegume,nonfixer,5,68.5327405,5.699272433,25.76798707,1.275,3.391,0.282,4.948,0.539679871,0.685327405,0.00341351,0.416829746,-30.79402053,4.443,0.27,0.851,160.25869,26.05046636,1.091003821,17.48428382,22.29246187,0.007551222,0.052941176
150,to,ambientrain_water_nutrients,nonlegume,nonfixer,6,70.91744953,5.456725964,23.62582451,1.182,3.548,0.273,5.003,0.509258245,0.709174495,0.0044834,0.385542169,-29.98288321,4.453,0.167,1.196,175.13281,24.21029639,1.072860501,18.78930769,22.20896169,0.004770178,0.035294118
151,to,ambientrain_water_nutrients,nonlegume,nonfixer,4.5,71.01068488,4.957085304,24.03222981,1.372,4.054,0.283,5.709,0.523322298,0.710106849,0.00511923,0.382310984,-30.2041023,4.163,0.193,1.045,191.01604,27.96587814,0.850841987,16.2524471,22.29835742,0.00676899,0.041176471
152,to,ambientrain_water_nutrients,nonlegume,nonfixer,6,72.44302128,4.049726879,23.50725184,1.248,3.846,0.215,5.309,0.450072518,0.724430213,0.00453607,0.354632588,-29.98980237,4.64,0.19,1.193,204.32748,22.16846539,1.019755849,20.83641403,26.00384471,0.005406263,0.041176471
154,to,ambientrain_water,nonlegume,nonfixer,6,72.52286585,4.268292683,23.20884146,0.609,1.903,0.112,2.624,0.344088415,0.725228659,0.00171728,0.413385827,-30.60711376,6.197,0.22,1.543,163.55048,27.71427484,0.994344588,16.26255308,9.903894826,0.003384495,0.023529412
155,to,ambientrain_water,nonlegume,nonfixer,6,73.86772106,4.780733285,21.35154565,0.594,2.055,0.133,2.782,0.346515457,0.738677211,0.00180829,0.42578125,-30.30489205,6.18,0.247,1.438,165.89817,23.65631372,1.129886207,18.74460486,11.13429529,0.001813537,0.011764706
156,to,ambientrain_water,nonlegume,nonfixer,4.5,74.53695979,3.921241448,21.54179877,1.291,4.467,0.235,5.993,0.450417988,0.745369598,0.004025,0.397435897,-29.18805695,4.38,0.11,1.97,185.48387,26.51816656,0.944624582,17.5212624,22.61994976,0.00676899,0.041176471
157,to,ambientrain_nutrients,nonlegume,nonfixer,4.5,76.59279778,2.783933518,20.6232687,1.489,5.53,0.201,7.22,0.407232687,0.765927978,0.00352284,0.427509294,-30.50391787,4.3,0.14,1.949,153.16696,20.77882871,1.429454266,21.89451594,32.60093423,0.005198032,0.029411765
158,to,ambientrain_nutrients,nonlegume,nonfixer,5,75.63507842,4.241219351,20.12370223,1.822,6.848,0.384,9.054,0.585237022,0.756350784,0.00540203,0.374512354,-29.4295436,3.45,0.105,1.783,187.57049,19.71419214,1.248079146,23.41028122,42.65353238,0.006915137,0.047058824
159,to,ambientrain_nutrients,nonlegume,nonfixer,4.5,75.96141139,3.383110876,20.65547773,1.563,5.748,0.256,7.567,0.462554777,0.759614114,0.00606422,0.370106762,-29.76383552,3.865,0.08,2.771,194.36603,23.43510345,1.006996175,19.57258444,30.59194948,0.008154673,0.052941176
