id,family,Nfixer,spcode,treatment,LA,SLA,LDMC,LT,Amax,gs,WUE,d13c,CN,Narea,Nmass,TD,total_biom,above_biom,below_biom,initHeight,rgr,agr
148,nonlegume,nonFixer,to,ambientrain,0.00237209,196.0405,0.398026316,0.19,7.31,0.273,1.678,-31.08703623,24.0614889575305,0.982125294305865,19.25363297,0.268472988731249,2.86,0.744,2.116,3,0.008154673,0.035294118
149,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.00341351,160.25869,0.416829746,0.22,4.443,0.27,0.851,-30.79402053,26.0504663610522,1.09100382118699,17.48428382,0.283632328796307,4.948,1.557,3.391,5,0.007551222,0.052941176
150,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.0044834,175.13281,0.385542169,0.24,4.453,0.167,1.196,-29.98288321,24.2102963879879,1.07286050065575,18.78930769,0.23791468124486,5.003,1.455,3.548,6,0.004770178,0.035294118
151,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.00511923,191.01604,0.382310984,0.23,4.163,0.193,1.045,-30.2041023,27.9658781415138,0.850841986548759,16.2524471,0.227615758705736,5.709,1.655,4.054,4.5,0.00676899,0.041176471
152,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.00453607,204.32748,0.354632588,0.19,4.64,0.19,1.193,-29.98980237,22.1684653863638,1.01975584915136,20.83641403,0.257584437234622,5.309,1.463,3.846,6,0.005406263,0.041176471
154,nonlegume,nonFixer,to,ambientrain_water,0.00171728,163.55048,0.413385827,0.23,6.197,0.22,1.543,-30.60711376,27.7142748363592,0.994344587603652,16.26255308,0.265840007742962,2.624,0.721,1.903,6,0.003384495,0.023529412
155,nonlegume,nonFixer,to,ambientrain_water,0.00180829,165.89817,0.42578125,0.23,6.18,0.247,1.438,-30.30489205,23.6563137186344,1.12988620726764,18.74460486,0.2620780016414,2.782,0.727,2.055,6,0.001813537,0.011764706
156,nonlegume,nonFixer,to,ambientrain_water,0.004025,185.48387,0.397435897,0.17,4.38,0.11,1.97,-29.18805695,26.5181665620167,0.944624581565217,17.5212624,0.317135551526743,5.993,1.526,4.467,4.5,0.00676899,0.041176471
157,nonlegume,nonFixer,to,ambientrain_nutrients,0.00352284,153.16696,0.427509294,0.26,4.3,0.14,1.949,-30.50391787,20.7788287097431,1.42945426593317,21.89451594,0.251108584132886,7.22,1.69,5.53,4.5,0.005198032,0.029411765
158,nonlegume,nonFixer,to,ambientrain_nutrients,0.00540203,187.57049,0.374512354,0.17,3.45,0.105,1.783,-29.4295436,19.7141921433099,1.24807914642458,23.41028122,0.313607590467801,9.054,2.206,6.848,5,0.006915137,0.047058824
159,nonlegume,nonFixer,to,ambientrain_nutrients,0.00606422,194.36603,0.370106762,0.21,3.865,0.08,2.771,-29.76383552,23.4351034481985,1.00699617515196,19.57258444,0.244996760077096,7.567,1.819,5.748,4.5,0.008154673,0.052941176
