id,family,Nfixer,spcode,treatment,la_m2,sla_cm2_g,ldmc_g_g,leafthick_mm,amax_umol_m2_s1,gs_mol_m2_s2,wue_umol_mmol,d13c_perMil,CN,Narea_g_m2,Nmass_g_m2,tissueDensity_g_cm3,total_biomass_g,above_biom_g,below_biom_g,initial_height_cm,rgr,agr
148,nonlegume,nonFixer,to,ambientrain,0.00237209,196.0405,0.398026316,0.19,7.31,0.273,1.678,-31.08703623,24.06148895753049,0.9821252943058654,19.25363297,0.26847298873124903,2.86,0.744,2.116,3,0.008154673,0.035294118
149,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.00341351,160.25869,0.416829746,0.22,4.443,0.27,0.851,-30.79402053,26.050466361052244,1.0910038211869892,17.484283819999998,0.2836323287963071,4.948,1.557,3.391,5,0.007551222,0.052941176
150,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.0044834,175.13281,0.385542169,0.24,4.453,0.167,1.196,-29.98288321,24.21029638798789,1.0728605006557523,18.789307689999998,0.2379146812448602,5.003,1.455,3.548,6,0.004770178,0.035294118
151,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.00511923,191.01604,0.382310984,0.23,4.163,0.193,1.045,-30.2041023,27.965878141513837,0.8508419865487585,16.252447100000005,0.227615758705736,5.709,1.655,4.054,4.5,0.00676899,0.041176471
152,nonlegume,nonFixer,to,ambientrain_water_nutrients,0.00453607,204.32748,0.354632588,0.19,4.64,0.19,1.193,-29.98980237,22.168465386363795,1.0197558491513579,20.83641403,0.2575844372346217,5.309,1.463,3.846,6,0.005406263,0.041176471
154,nonlegume,nonFixer,to,ambientrain_water,0.00171728,163.55048,0.413385827,0.23,6.197,0.22,1.543,-30.60711376,27.714274836359213,0.9943445876036522,16.26255308,0.2658400077429624,2.624,0.721,1.903,6,0.003384495,0.023529412
155,nonlegume,nonFixer,to,ambientrain_water,0.00180829,165.89817,0.42578125,0.23,6.18,0.247,1.438,-30.30489205,23.65631371863445,1.1298862072676394,18.744604859999995,0.26207800164139977,2.782,0.727,2.055,6,0.001813537,0.011764706
156,nonlegume,nonFixer,to,ambientrain_water,0.004025,185.48387,0.397435897,0.17,4.38,0.11,1.97,-29.18805695,26.518166562016674,0.9446245815652174,17.5212624,0.317135551526743,5.993,1.526,4.467,4.5,0.00676899,0.041176471
157,nonlegume,nonFixer,to,ambientrain_nutrients,0.00352284,153.16696,0.427509294,0.26,4.3,0.14,1.949,-30.50391787,20.778828709743106,1.4294542659331673,21.894515939999998,0.2511085841328865,7.22,1.69,5.53,4.5,0.005198032,0.029411765
158,nonlegume,nonFixer,to,ambientrain_nutrients,0.00540203,187.57049,0.374512354,0.17,3.45,0.105,1.783,-29.4295436,19.71419214330993,1.2480791464245846,23.410281219999998,0.3136075904678007,9.054,2.206,6.848,5,0.006915137,0.047058824
159,nonlegume,nonFixer,to,ambientrain_nutrients,0.00606422,194.36603,0.370106762,0.21,3.865,0.08,2.771,-29.76383552,23.435103448198483,1.0069961751519567,19.57258444,0.24499676007709592,7.567,1.819,5.748,4.5,0.008154673,0.052941176
