id,family,Nfixer,spcode,treatment,la_m2,sla_cm2_g,ldmc_g_g,leafthick_mm,amax_umol_m2_s1,gs_mol_m2_s2,wue_umol_mmol,d13c_perMil,CN,Narea_g_m2,Nmass_g_m2,tissueDensity_g_cm3,total_biomass_g,above_biom_g,below_biom_g,initial_height_cm,rgr,agr
35,legume,nonFixer,hc,ambientrain_water,0.00334359,100.10749,0.478510029,0.21,7.927,0.34,1.637,-29.2921831,31.59838893403603,1.6439788658238603,16.45745897,0.4756791686520921,11.66,5.474,6.186,26,0.00550114,0.182352941
36,legume,nonFixer,hc,ambientrain_water,0.00266437,105.72897,0.513238289,0.18,9.083,0.353,1.875,-28.97555843,39.741550850187934,1.2309246212200255,13.01443902,0.5254525373278067,8.584,5.104,3.48,27,0.004326174,0.141176471
37,legume,nonFixer,hc,ambientrain_nutrients,0.0025982,102.69565,0.489361702,0.19,7.027,0.207,1.909,-30.06244178,27.142873199229097,1.8398194217612194,18.89414554,0.5125005679146919,8.478,5.603,2.875,28,0.005840434,0.211764706
38,legume,nonFixer,hc,ambientrain_nutrients,0.00475141,97.96722,0.524891775,0.19,7.707,0.243,1.908,-28.69758736,29.2026005403514,1.8029359322390615,17.662861479999997,0.5372366282044997,15.415,7.001,8.414,31,0.004384415,0.164705882
39,legume,nonFixer,hc,ambientrain_nutrients,0.00282922,100.68399,0.49471831,0.21,9.503,0.243,2.364,-28.71261277,31.196640521549845,1.5792251338849579,15.900268090000003,0.47295550781258894,8.017,4.937,3.08,29,0.00516902,0.188235294
40,legume,nonFixer,hc,ambientrain_nutrients,0.00274951,98.54875,0.547058824,0.18,5.82,0.105,3.404,-28.3375106,32.144231651751774,1.6178627942869823,15.943834880000002,0.5637367856574087,9.587,5.507,4.08,27,0.002181214,0.064705882
45,nonlegume,nonFixer,sg,ambientrain,0.00461617,122.77048,0.394543547,0.27,3.287,0.05,3.062,-29.20989432,49.6992881835704,0.7540982601247354,9.25810044,0.30167705654516486,5.275,2.973,2.302,9.5,0.002247709,0.023529412
46,nonlegume,nonFixer,sg,ambientrain,0.0039184,102.84514,0.45035461,0.28,3.267,0.07,2.67,-29.42192067,52.24429854248237,0.8427687154501838,8.66746702,0.347262745855426,5.133,3.227,1.906,7,0.002284188,0.017647059
47,nonlegume,nonFixer,sg,ambientrain,0.00198826,194.92745,0.295652174,0.18,2.56,0.067,2.286,-30.00182904,30.84191906878918,0.7643361130033295,14.899009019999998,0.28500632186772856,1.725,1.054,0.671,8.5,0.002485989,0.023529412
48,nonlegume,nonFixer,sg,ambientrain,0.00452874,119.80794,0.413114754,0.22,5.027,0.07,3.968,-29.05556161,51.094807461894234,0.7425466925899921,8.896298700000001,0.3793951006464635,5.459,3.235,2.224,13,0,0
49,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00455177,94.435059999999993,0.424669604,0.25,3.127,0.09,1.975,-29.71993304,39.612807014048094,1.2075779736278414,11.40377011,0.4235714998222058,7.943,4.677,3.266,9,0.002883794,0.029411765
50,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00522997,114.44136,0.402998236,0.24,3.42,0.157,1.283,-29.09833919,37.06107699880081,1.0781656281087657,12.338673720000001,0.3640874825907929,6.113,3.932,2.181,8,0.005711857,0.058823529
51,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00343193,111.0657,0.399224806,0.22,3.55,0.16,1.282,-29.63963116,39.638612205835685,1.0300025807548523,11.43979533,0.40925817290617583,6.732,4.23,2.502,10,0.003086638,0.035294118
52,nonlegume,nonFixer,sg,ambientrain_water_nutrients,0.00387228,110.95358,0.421497585,0.22,3.47,0.19,1.087,-29.67303685,39.03584412221507,1.0366590449554267,11.502103400000001,0.4096717334812041,5.44,3.739,1.701,11.5,0.002314239,0.029411765
53,nonlegume,nonFixer,sg,ambientrain_water,0.00522984,124.81718,0.394538606,0.21,3.33,0.31,0.736,-29.39757834,52.94669286827955,0.6984580725681856,8.71795696,0.38151036274852246,5.282,3.246,2.036,10,0.002625218,0.029411765
54,nonlegume,nonFixer,sg,ambientrain_water,0.00354047,105.37113,0.436931079,0.22,5.327,0.327,1.133,-30.05049368,53.711865706107126,0.7978053736368336,8.40656545,0.4313757046597627,4.777,3.034,1.743,7.5,0.003958497,0.035294118
55,nonlegume,nonFixer,sg,ambientrain_water,0.00338721,90.3256,0.46641791,0.22,5.283,0.293,1.18,-29.11799004,48.01285634361894,1.0452432588324905,9.44122245,0.5032299309890602,4.392,2.967,1.425,11,5.22962e-4,0.005882353
57,nonlegume,nonFixer,sg,ambientrain_nutrients,0.0037682,109.86006,0.417783191,0.23,5.317,0.11,2.76,-29.81996337,40.084307699405166,1.0453338389549387,11.48404365,0.3957603961764195,6.185,3.861,2.324,11,0.001965342,0.023529412
58,nonlegume,nonFixer,sg,ambientrain_nutrients,0.00483673,105.37538,0.427374302,0.22,4.25,0.093,2.56,-29.66386174,43.64827461012524,1.0024211009566382,10.563050570000001,0.43135830641413064,6.322,4.067,2.255,6.5,0.005642036,0.047058824
59,nonlegume,nonFixer,sg,ambientrain_nutrients,0.00350496,91.03792,0.43258427,0.23,5.397,0.197,1.825,-29.27191968,40.37321673878966,1.2374683453734134,11.26565468,0.47758407561997485,7.596,4.48,3.116,8.5,0.004537206,0.047058824
60,nonlegume,nonFixer,sg,ambientrain_nutrients,0.00291498,96.52252,0.433908046,0.22,4.174,0.068,3.124,-29.45471789,45.14502844451152,1.0619859568230312,10.250555709999999,0.47092166112680706,6.679,4.189,2.49,11,0.001023663,0.011764706
65,nonlegume,nonFixer,sm,ambientrain,0.00195505,113.6657,0.487252125,0.22,4.17,0.09,2.811,-31.03864229,39.647965690240746,1.0237988256873227,11.637080780000002,0.39989676265175383,6.752,3.869,2.883,16,7.13231e-4,0.011764706
66,nonlegume,nonFixer,sm,ambientrain,0.00448323,108.29058,0.520754717,0.21,4.503,0.103,2.724,-30.1773513,51.19193500020619,0.8214402336574299,8.89542391,0.4397339788839216,7.149,4.521,2.628,20,0.001385683,0.029411765
67,nonlegume,nonFixer,sm,ambientrain,0.00411227,113.28567,0.476377953,0.24,5.153,0.107,3.086,-31.15745383,45.985260286772956,0.9040793397952955,10.24192382,0.36780174109105473,7.758,4.969,2.789,19.5,0.001419153,0.029411765
68,nonlegume,nonFixer,sm,ambientrain,0.00347268,138.35378,0.443462898,0.17,5.543,0.1,3.373,-31.42805409,50.75183474234174,0.6590668812703734,9.11843975,0.4251674902685326,6.75,4.366,2.384,23,9.8096e-4,0.023529412
69,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.00663949,144.96703,0.426443203,0.18,7.353,0.417,1.327,-31.60000629,42.92101132304235,0.7454802224809437,10.807005420000001,0.38322890077526983,10.688,6.784,3.904,16.5,0.00311403,0.058823529
70,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.00829421,142.5122,0.435628743,0.18,7.577,0.487,1.19,-30.26292683,34.76023472609559,0.9265295591310082,13.204176519999999,0.3898301728241902,7.578,5.015,2.563,12.5,0.003266256,0.047058824
71,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.0063429,134.09937,0.367807154,0.24,5.16,0.438,0.849,-29.49137823,44.58593996816059,0.7749458546532343,10.391974760000002,0.3107148576959509,11.636,7.81,3.826,18,0.001813537,0.035294118
72,nonlegume,nonFixer,sm,ambientrain_water_nutrients,0.00887304,144.51205,0.362669817,0.2,7.54,0.617,1.072,-31.0958042,41.250292915881055,0.7697872943478222,11.124354160000001,0.3459919086332247,10.007,6.656,3.351,14,0.003592725,0.058823529
73,nonlegume,nonFixer,sm,ambientrain_water,0.00371382,134.5587,0.416289593,0.18,6.487,0.313,1.436,-31.31987553,52.413542679490355,0.6626133284650307,8.916038520000003,0.4128722673120026,7.691,4.533,3.158,14,0.003278981,0.052941176
74,nonlegume,nonFixer,sm,ambientrain_water,0.00255213,106.78368,0.458733205,0.21,5.35,0.343,1.125,-30.5437369,63.654174869105866,0.6740740874093404,7.1980113,0.4459393759331728,9.929,6.188,3.741,17,0.001308537,0.023529412
75,nonlegume,nonFixer,sm,ambientrain_water,0.00562645,99.58319,0.574186992,0.23,7.587,0.323,1.642,-29.39396473,46.07666406089893,1.0246547611282424,10.20383855,0.43660241120579907,10.491,6.639,3.852,16,0.00291572,0.052941176
