id,spcode,treatment,family,nfixer,init_height,rmf,smf,lmf,whole_leaf_dry_weight,root_dry_weight,stem_dry_weight,totalbiom,above_biom,below_biom,la,ldmc,d13c,sla_cm2_g,CN,Narea_g_m2,Nmass_mg_g,totalleafmass_Nmass
2,ec,Harvestatthebegging,Legume,fixer,18,37.6455368693402,27.6843467011643,34.6701164294955,0.268,0.291,0.214,0.773,0.560701164294955,0.376455368693402,0.00266348,0.284246575,-28.75512251,320.9012,11.7716960622539,1.18851985960848,38.13974549,10.22145179132
3,ec,Harvestatthebegging,Legume,fixer,13,44.4866920152091,17.4904942965779,38.0228136882129,0.3,0.351,0.138,0.789,0.518228136882129,0.444866920152091,0.00106837,0.319148936,-28.40474279,178.06167,11.821293487168,2.06592939562137,36.78628314,11.035884942
4,ec,Harvestatthebegging,Legume,fixer,22,23.7410071942446,32.8057553956834,43.4532374100719,0.302,0.165,0.228,0.695,0.662532374100719,0.237410071942446,0.00286388,0.307958478,-29.73064153,321.78427,12.4444410299699,1.1600323017375,37.3280147,11.2730604394
5,ec,ambientrain,Legume,fixer,17,42.42656449553,23.5759897828863,33.9974457215837,1.331,1.661,0.923,3.915,1.26297445721584,0.4242656449553,0.00424718,0.268041237,-29.52088396,233.36154,10.475077397201,2.01213976388568,46.95560309,62.49790771279
6,ec,ambientrain,Legume,fixer,25,47.6288987905792,26.1457670273711,26.2253341820496,1.648,2.993,1.643,6.284,1.9052533418205,0.476288987905792,0.00240549,0.326164875,-29.39493394,132.16978,10.8330390483844,3.47913594193283,45.98366328,75.78107708544
7,ec,ambientrain,Legume,fixer,14,56.0020696791997,17.1093480510521,26.8885822697482,1.559,3.247,0.992,5.798,1.26088582269748,0.560020696791997,0.00532261,0.313176321,-28.95119752,108.18313,10.2154881436044,4.49227114740325,48.59879539,75.76552201301
8,ec,ambientrain,Legume,fixer,16,48.716619134042,21.3119004407571,29.9714804252009,1.156,1.879,0.822,3.857,1.12171480425201,0.48716619134042,0.00197916,0.240112994,-29.91483595,232.84235,9.23463121864251,2.27554382098971,52.98429775,61.249848199
9,ec,ambientrain_water_nutrients,Legume,fixer,20.5,50.9248090068355,26.7591475673502,22.3160434258142,1.11,2.533,1.331,4.974,1.55416043425814,0.509248090068355,0.00142568,0.391975309,-30.2786471,112.25827,12.3604737008948,3.5077509203538,39.37740419,43.7089186509
10,ec,ambientrain_water_nutrients,Legume,fixer,21,58.6316838259714,18.7910993025573,22.5772168714713,3.399,8.827,2.829,15.055,3.05477216871471,0.586316838259714,0.00900788,0.282157676,-29.10112818,220.78137,10.6714251622802,2.11153903437435,46.61884862,158.45746645938
11,ec,ambientrain_water_nutrients,Legume,fixer,24,49.08092355974,24.3667339161623,26.5523425240977,2.369,4.379,2.174,8.922,2.43952342524098,0.4908092355974,0.00505577,0.267130089,-29.0963584,187.94684,9.52601647310314,2.67441194649677,50.26472746,119.07713935274
12,ec,ambientrain_water_nutrients,Legume,fixer,25.5,52.6238563783877,25.8329017780079,21.5432418436043,2.496,6.097,2.993,11.586,3.20843241843604,0.526238563783877,0.00525161,0.293444329,-28.80535816,93.11365,11.9216675756236,4.37825138776109,40.76749782,101.75567455872
13,ec,ambientrain_water,Legume,fixer,20,51.5054622968292,23.3546496136424,25.1398880895284,1.887,3.866,1.753,7.506,2.00439888089528,0.515054622968292,0.00193416,0.382284382,-29.4460249,117.93659,12.7427633503954,3.23083465252099,38.10336068,71.90104160316
14,ec,ambientrain_water,Legume,fixer,20,52.3973967326338,25.9264178509762,21.67618541639,1.632,3.945,1.952,7.529,2.1687618541639,0.523973967326338,0.00333823,0.392978482,-31.03808581,96.20259,13.9582194086065,3.51506348774051,33.81582244,55.18742222208
15,ec,ambientrain_water,Legume,fixer,23,53.923431984795,25.6720065164268,20.4045614987782,1.503,3.972,1.891,7.366,2.09504561498778,0.53923431984795,0.00350512,0.362030905,-30.47394266,106.86341,11.3379524237461,3.96368462630666,42.35728737,63.66300291711
16,ec,ambientrain_water,Legume,fixer,24.5,59.7216537044617,19.7025515077091,20.5757947878292,1.508,4.377,1.444,7.329,1.64975794787829,0.597216537044617,0.00331986,0.390572391,-29.71990504,95.39828,11.6974119966728,4.34430704071858,41.44394015,62.4974617462
17,ec,ambientrain_nutrients,Legume,fixer,24.5,59.5399515738499,21.638418079096,18.8216303470541,2.332,7.377,2.681,12.39,2.86921630347054,0.595399515738499,0.00325307,0.372279496,-28.14545799,100.09446,19.8301571461479,2.36906932766587,23.71307187,55.29888360084
18,ec,ambientrain_nutrients,Legume,fixer,13.5,48.2952717915729,17.9478932132518,33.7568349951753,2.099,3.003,1.116,6.218,1.45356834995175,0.482952717915729,0.00310978,0.328467153,-29.42725173,138.21244,10.8442815103843,3.21337830023346,44.41288698,93.22264977102
19,ec,ambientrain_nutrients,Legume,fixer,17,60.7564461012737,19.1596769182976,20.0838769804287,2.586,7.823,2.467,12.876,2.66783876980429,0.607564461012737,0.00478453,0.405299313,-29.02130117,115.84818,12.19041635143,3.41433273769628,39.55442473,102.28774235178
20,ec,ambientrain_nutrients,Legume,fixer,22,47.8467185961142,21.6492076282568,30.504073775629,3.407,5.344,2.418,11.169,2.72304073775629,0.478467185961142,0.00720167,0.364566929,-28.80306122,155.54363,10.5116941364674,3.03880505571763,47.26667647,161.03756673329
21,hc,Harvestatthebegging,Legume,nonfixer,21,29.1825095057034,28.8973384030418,41.9201520912548,0.441,0.307,0.304,1.052,0.723201520912548,0.291825095057034,0.00190337,0.349206349,-28.24961115,173.03364,24.0342018190264,1.19817039193641,20.73237799,9.14297869359
22,hc,Harvestatthebegging,Legume,nonfixer,36,24.001452432825,32.4255628177197,43.5729847494553,1.2,0.661,0.893,2.754,1.32872984749455,0.24001452432825,0.00403315,0.340659341,-29.75017197,144.55735,30.4277334329119,1.16611608345586,16.85706481,20.228477772
23,hc,Harvestatthebegging,Legume,nonfixer,33,25.0077857365307,27.810650887574,47.1815633758954,1.515,0.803,0.893,3.211,1.36481563375895,0.250077857365307,0.00361249,0.343703704,-28.71613733,155.71078,26.7409631036745,1.24094032689917,19.32277811,29.27400883665
24,hc,Harvestatthebegging,Legume,nonfixer,32,23.8636363636364,30.5555555555556,45.5808080808081,1.444,0.756,0.968,3.168,1.42380808080808,0.238636363636364,0.00357125,0.356184799,-27.41839131,149.42469,27.9664930341114,1.2997292820133,19.42116401,28.04416083044
25,hc,ambientrain,Legume,nonfixer,29,46.5666532420459,25.1711639146194,28.2621828433347,2.807,4.625,2.5,9.932,2.78262182843335,0.465666532420459,0.00285499,0.515734266,-29.08371594,96.77932,49.0327000282246,1.08532119457511,10.50366494,29.48378748658
26,hc,ambientrain,Legume,nonfixer,26,46.4141414141414,26.2626262626263,27.3232323232323,2.705,4.595,2.6,9.9,2.87323232323232,0.464141414141414,0.00241721,0.539714868,-28.03085412,91.21547,45.4948805957596,1.22903031375015,11.21065798,30.3248298359
27,hc,ambientrain,Legume,nonfixer,32,38.9022385228279,34.5516630833439,26.5460983938283,2.099,3.076,2.732,7.907,2.99746098393828,0.389022385228279,0.00248648,0.494023904,-30.82157032,100.26129,39.8393313221155,1.30367104771404,13.07077414,27.43555491986
28,hc,ambientrain,Legume,nonfixer,19,45.0115207373272,27.8341013824885,27.1543778801843,2.357,3.907,2.416,8.68,2.68754377880184,0.450115207373272,0.00313212,0.561020036,-28.00732325,101.69221,34.7693596449887,1.45786566954012,14.82535786,34.94336847602
29,hc,ambientrain_water_nutrients,Legume,nonfixer,24,45.0378180151272,23.7795095118038,31.182672473069,2.721,3.93,2.075,8.726,2.38682672473069,0.450378180151272,0.0033313,0.554733728,-29.25147951,88.83467,40.0717623833908,1.42586163997538,12.66659435,34.46580322635
30,hc,ambientrain_water_nutrients,Legume,nonfixer,25,51.8952879581152,22.5340314136126,25.5706806282723,2.442,4.956,2.152,9.55,2.40770680628272,0.518952879581152,0.00295571,0.518072289,-29.57024412,98.19635,32.5318140314541,1.61316504977146,15.84069126,38.68296805692
31,hc,ambientrain_water_nutrients,Legume,nonfixer,38,35.4330708661417,35.3074216786731,29.2595074551851,3.493,4.23,4.215,11.938,4.50759507455185,0.354330708661417,0.0036494,0.549100968,-27.05490679,91.92443,33.9951732192037,1.64819270072615,15.15091799,52.92215653907
32,hc,ambientrain_water_nutrients,Legume,nonfixer,32,48.460193141206,26.6443616455022,24.8954452132918,3.274,6.373,3.504,13.151,3.75295445213292,0.48460193141206,0.00445663,0.528994083,-29.95303635,99.70089,31.2272616680404,1.67003346301802,16.65038307,54.51335417118
33,hc,ambientrain_water,Legume,nonfixer,32,47.8091457138656,27.2974562564329,24.8933980297015,3.386,6.503,3.713,13.602,3.96193398029702,0.478091457138656,0.005127,0.47542735,-30.40483597,115.21348,41.0731070421836,1.09025398564463,12.56119592,42.53220938512
34,hc,ambientrain_water,Legume,nonfixer,28,41.451367781155,32.9407294832827,25.6079027355623,2.696,4.364,3.468,10.528,3.72407902735562,0.41451367781155,0.00271665,0.469945355,-28.67301783,105.29651,40.4205426345048,1.19607885439788,12.5942931,33.9542141976
35,hc,ambientrain_water,Legume,nonfixer,26,53.0531732418525,25.377358490566,21.5694682675815,2.515,6.186,2.959,11.66,3.17469468267581,0.530531732418525,0.00334359,0.478510029,-29.2921831,100.10749,31.598388934036,1.64397886582386,16.45745897,41.39050930955
36,hc,ambientrain_water,Legume,nonfixer,27,40.5405405405405,32.6654240447344,26.7940354147251,2.3,3.48,2.804,8.584,3.07194035414725,0.405405405405405,0.00266437,0.513238289,-28.97555843,105.72897,39.7415508501879,1.23092462122003,13.01443902,29.933209746
37,hc,ambientrain_nutrients,Legume,nonfixer,28,33.9112998348667,35.1615947157348,30.9271054493984,2.622,2.875,2.981,8.478,3.29027105449398,0.339112998348667,0.0025982,0.489361702,-30.06244178,102.69565,27.1428731992291,1.83981942176122,18.89414554,49.54044960588
38,hc,ambientrain_nutrients,Legume,nonfixer,31,54.5831981835874,24.0480051897502,21.3687966266623,3.294,8.414,3.707,15.415,3.92068796626662,0.545831981835874,0.00475141,0.524891775,-28.69758736,97.96722,29.2026005403514,1.80293593223906,17.66286148,58.18146571512
