id,sub_sample,spcode,family,treatment,percentage
105,c,gs,Legume,ambientrain,11.86
106,a,gs,Legume,ambientrain,0
106,b,gs,Legume,ambientrain,0
107,b,gs,Legume,ambientrain,0
107,c,gs,Legume,ambientrain,3.23
108,b,gs,Legume,ambientrain,86.44
108,c,gs,Legume,ambientrain,20.34
109,b,gs,Legume,ambientrain_water_nutrients,1.96
109,c,gs,Legume,ambientrain_water_nutrients,33.33
110,a,gs,Legume,ambientrain_water_nutrients,14.81
110,b,gs,Legume,ambientrain_water_nutrients,3.85
111,a,gs,Legume,ambientrain_water_nutrients,1.45
111,b,gs,Legume,ambientrain_water_nutrients,125.4
112,b,gs,Legume,ambientrain_water_nutrients,17.54
112,c,gs,Legume,ambientrain_water_nutrients,16.67
113,a,gs,Legume,ambientrain_water,4
113,b,gs,Legume,ambientrain_water,8.96
114,a,gs,Legume,ambientrain_water,6.78
114,b,gs,Legume,ambientrain_water,126.67
115,a,gs,Legume,ambientrain_water,0
115,c,gs,Legume,ambientrain_water,0
116,a,gs,Legume,ambientrain_water,0
116,b,gs,Legume,ambientrain_water,0
117,a,gs,Legume,ambientrain_nutrients,5.17
117,c,gs,Legume,ambientrain_nutrients,6.06
118,a,gs,Legume,ambientrain_nutrients,0
118,b,gs,Legume,ambientrain_nutrients,27.27
119,a,gs,Legume,ambientrain_nutrients,0
119,b,gs,Legume,ambientrain_nutrients,0
120,a,gs,Legume,ambientrain_nutrients,0
120,b,gs,Legume,ambientrain_nutrients,0
125,b,dr,Legume,ambientrain,1.89
125,c,dr,Legume,ambientrain,6.15
126,a,dr,Legume,ambientrain,7.35
126,b,dr,Legume,ambientrain,7.55
127,a,dr,Legume,ambientrain,57.81
127,b,dr,Legume,ambientrain,13.64
128,a,dr,Legume,ambientrain,23.08
128,b,dr,Legume,ambientrain,11.11
129,a,dr,Legume,ambientrain_water_nutrients,35.94
129,b,dr,Legume,ambientrain_water_nutrients,27.12
130,a,dr,Legume,ambientrain_water_nutrients,0
130,b,dr,Legume,ambientrain_water_nutrients,0
131,a,dr,Legume,ambientrain_water_nutrients,0
131,b,dr,Legume,ambientrain_water_nutrients,0
132,a,dr,Legume,ambientrain_water_nutrients,1.72
132,b,dr,Legume,ambientrain_water_nutrients,14.49
133,a,dr,Legume,ambientrain_water,0
133,b,dr,Legume,ambientrain_water,0
134,a,dr,Legume,ambientrain_water,0
134,b,dr,Legume,ambientrain_water,1.85
135,b,dr,Legume,ambientrain_water,1.82
135,c,dr,Legume,ambientrain_water,0
136,a,dr,Legume,ambientrain_water,0
136,b,dr,Legume,ambientrain_water,0
137,a,dr,Legume,ambientrain_nutrients,0
137,b,dr,Legume,ambientrain_nutrients,0
138,a,dr,Legume,ambientrain_nutrients,1.61
138,b,dr,Legume,ambientrain_nutrients,2.78
139,a,dr,Legume,ambientrain_nutrients,3.23
139,c,dr,Legume,ambientrain_nutrients,0
140,a,dr,Legume,ambientrain_nutrients,0
140,b,dr,Legume,ambientrain_nutrients,14.29
145,b,to,nonlegume,ambientrain,10.59
145,c,to,nonlegume,ambientrain,1.39
146,a,to,nonlegume,ambientrain,4.05
146,b,to,nonlegume,ambientrain,5
147,b,to,nonlegume,ambientrain,2.86
147,c,to,nonlegume,ambientrain,8.33
148,a,to,nonlegume,ambientrain,5.08
148,c,to,nonlegume,ambientrain,13.16
149,b,to,nonlegume,ambientrain_water_nutrients,5
149,c,to,nonlegume,ambientrain_water_nutrients,6.06
150,a,to,nonlegume,ambientrain_water_nutrients,2.9
150,b,to,nonlegume,ambientrain_water_nutrients,1.54
151,a,to,nonlegume,ambientrain_water_nutrients,12.35
151,b,to,nonlegume,ambientrain_water_nutrients,22.97
152,a,to,nonlegume,ambientrain_water_nutrients,15.05
152,b,to,nonlegume,ambientrain_water_nutrients,5.48
153,a,to,nonlegume,ambientrain_water,32.5
153,b,to,nonlegume,ambientrain_water,32.31
154,a,to,nonlegume,ambientrain_water,2.35
154,b,to,nonlegume,ambientrain_water,1.37
155,a,to,nonlegume,ambientrain_water,2.9
155,b,to,nonlegume,ambientrain_water,8.82
156,a,to,nonlegume,ambientrain_water,9.23
156,b,to,nonlegume,ambientrain_water,48.53
157,a,to,nonlegume,ambientrain_nutrients,11.76
157,b,to,nonlegume,ambientrain_nutrients,7.35
158,a,to,nonlegume,ambientrain_nutrients,14.29
158,c,to,nonlegume,ambientrain_nutrients,6.76
159,a,to,nonlegume,ambientrain_nutrients,0
159,c,to,nonlegume,ambientrain_nutrients,1.43
160,a,to,nonlegume,ambientrain_nutrients,0
160,b,to,nonlegume,ambientrain_nutrients,0
